11,,,,,,,,
Public,,,,,,,,
Private,,,,,,,,
Unverified ,,,,,,,,
,,,,,,,,
ULT_DUNS_NBR,ULT_SUPPLIER_NM,Revenue,SG&A,EBIT,SG&A %,Profit %,SG&A & P,OEM(s)
788107139,BURNSIDE ACQUISITION LLC,,,,,,0.00%,
44694040,VOXX INTERNATIONAL CORP,,,,,,0.00%,"Stellantis, Ford, General Motors, Nissan, Subaru, Audi, BMW"
44477123,MOTORCAR PARTS OF AMERICA INC,"770,636,000","86,235,000","47,570,000",11.19%,7.58%,18.77%,"General Motors, Ford, Toyota, Honda, Hyundai"
117024888,WATERMILL-QMC HOLDINGS CORP,,,,,,0.00%,
806256132,KKR & CO INC,"16,722,880,000","2,838,450,000","426,040,000",15.44%,52.95%,68.40%,"Nissan, Volkswagen"
5341664,ADVANCED ASSEMBLY PRODUCTS INC,,,,,,0.00%,
690543756,MITSUBISHI HEAVY INDUSTRIES LTD,"34,477,793,333","4,891,613,333","2,573,266,667",14.19%,7.85%,22.04%,"Mitsubishi, Nissan, Toyota, Honda, Volkswagen, BMW"
49593734,PRECISION RESOURCE INC,,,,,,0.00%,
5043310,RIMA MANUFACTURING COMPANY INC,,,,,,0.00%,
4240305,CONSOLIDATED METAL PRODUCTS INC,,,,,,0.00%,
913293718,GRUPO GERDAU DE EMPREENDIMENTOS LTD,,,,,,0.00%,
7775547,EXPORT CORP,,,,,,0.00%,
79176817,SAFE FLEET HOLDINGS LLC,,,,,,0.00%,
3354230,SONOCO PRODUCTS CO,"6,119,250,000","786,300,000","526,600,000",12.22%,6.22%,18.44%,"BMW, Mercedes, Ford"
784728730,TRANSNAV HOLDINGS INC,,,,,,0.00%,
104190335,BORLA PERFORMANCE INDUSTRIES INC,,,,,,0.00%,
831478438,COASTAL AUTOMOTIVE LLC,,,,,,0.00%,
680152301,BCJ-51 KK,,,,,,0.00%,
27929459,DAKKOTA INTEGRATED SYSTEMS LLC,,,,,,0.00%,
46736054,DIVERSIFIED PLASTICS CORP,,,,,,0.00%,
5537469,MODINEER CO INC,,,,,,0.00%,
759029119,CYCLAMEN SERVICES PTY LTD,,,,,,0.00%,
656041118,TYC BROTHER INDUSTRIAL CO LTD,"651,344,308","99,635,692","51,049,538",15.30%,4.29%,19.58%,"Ford, General Motors"
6092555,MODINE MANUFACTURING CO,"2,873,900,000","339,900,000","342,500,000",11.83%,11.92%,23.74%,"Stellantis, Ford, Tesla"
688330893,CHUNIL ENGINEERING CO LTD,,,,,,0.00%,
17093972,MILL STEEL CO THE,,,,,,0.00%,
5392550,YAREMA DIE & ENGINEERING CO,,,,,,0.00%,
421101915,SICHUAN BOHONG INDUSTRY CO LTD,,,,,,0.00%,
545237989,SHANGHAI STATE OWNED ASSETS SUPERVI,,,,,,0.00%,
690538913,NITTO DENKO CORP,"6,704,826,666.67","1,012,566,666.67","1,139,366,666.67",15.10%,16.99%,32.10%,"Toyota, Honda, Nissan, Tesla"
544634264,CITIC DICASTAL CO LTD PRODUCTION FA,,,,,,0.00%,
689089675,DAEHAN SOLUTION CO LTD,,,,,,0.00%,
5068515,CTS CORP,"531,480,000","96,110,000","81,030,000",18.08%,15.25%,33.33%,"General Motors, Ford, Toyota, Honda"
329640163,BLEISTAHL GMBH & CO HOLDING KG,,,,,,0.00%,
59001065,EASTERN INDUSTRIES INC,,,,,,0.00%,
249895848,MEVOTECH INC,,,,,,0.00%,
58963364,FAPCO INC,,,,,,0.00%,
689283781,JINHAP CO LTD,,,,,,0.00%,"Hyundai, Kia"
631064016,SK INNOVATION CO LTD,"59,549,681,762.96","2,554,630,162.96","200,888,918.52",4.29%,0.34%,4.63%,"Ford, Volkswagen, Hyundai, Kia, Mercedes"
133197629,EYPEX CORPORATION,,,,,,0.00%,
147197677,RCO ENGINEERING INC,,,,,,0.00%,
619522279,TMG PERFORMANCE PRODUCTS LLC,,,,,,0.00%,
6380257,MID-CONTINENT SPRING CO,,,,,,0.00%,
686609256,CITIC LIMITED,"130,144,166,666.67","26,921,666,666.67","20,682,777,778",20.69%,15.89%,36.58%,"Volkswagen, BMW, Ford, Tesla, General Motors, Nissan"
812817929,CENTRAL AUTOMOTIVE PARTS,,,,,,0.00%,
338585385,GGG SPA,,,,,,0.00%,
40276248,MATERIALS PROCESSING INC,,,,,,0.00%,
6995419,AVNET INC,"23,150,750,000","1,842,780,000","616,560,000",7.96%,2.66%,10.62%,Tesla
810535872,GRUPO INDUSTRIAL SALTILLO SA DE CV,"983,010,000","132,880,000","21,340,000",13.52%,2.17%,15.69%,"General Motors, Ford, Stellantis, Volkswagen, Nissan"
5245873,GDC INC,,,,,,0.00%,
260193297,A RAYMOND ET COMPAGNIE,,,,,,0.00%,
4154415,A J ROSE MFG CO,,,,,,0.00%,
688734918,HAHN & COMPANY 1 PRIVATE EQUITY FUN,,,,,,0.00%,
243591612,AQM AUTOMOTIVE CORP,,,,,,0.00%,
5392936,BEARING TECHNOLOGIES LLC,,,,,,0.00%,
362692113,BBB INDUSTRIES LLC,,,,,,0.00%,
5349444,WASHERS INC,,,,,,0.00%,
7913213,BERWIND CORP,,,,,,0.00%,
96962576,DESHLER GROUP INC,,,,,,0.00%,
690542212,NISSAN MOTOR CO LTD,"81,517,866,666.67","6,894,240,000.00","4,238,933,333.33",8.46%,5.20%,13.66%,Nissan
612286299,DONGNAM TECH USA CORP,,,,,,0.00%,
690691068,NICHIRIN CO LTD,62460000000,5800000000,6200000000,9.29%,9.93%,19.21%,"Honda, Toyota, Nissan"
329846877,OTTO KIRCHNER BETEILIGUNGEN SE,,,,,,0.00%,
690720222,AMINO CORP,,,,,,0.00%,
147061592,HARBOUR GROUP LTD,,,,,,0.00%,
690550637,STANLEY ELECTRIC CO LTD,453297000000,52800000000,41500000000,11.65%,9.16%,20.80%,"Honda, Toyota, Subaru"
47799267,GP STRATEGIES CORP,,,,,,0.00%,
7871643,LCI INDUSTRIES,3784808000,652762000,123428000,17.25%,3.26%,20.51%,"General Motors, Ford, Stellantis"
89965016,METRIC MANUFACTURING CO INC,,,,,,0.00%,
350685597,CTEK AB (PUBL),1844000000,416000000,250000000,22.56%,13.56%,36.12%,"BMW, Volkswagen"
81602054,MOON ROOF CORPORATION OF AMERICA,,,,,,0.00%,
690548839,IDEMITSU KOSAN CO LTD,8459500000000,318000000000,471000000000,3.76%,5.57%,9.33%,
23251429,BEACHLAWN INC,,,,,,0.00%,
78602866,CADRE HOLDINGS INC,543300000,56700000,73800000,10.44%,13.58%,24.02%,
248748576,MATSU MANUFACTURING INC,,,,,,0.00%,
690577879,NICHIAS CORP,280416000000,27200000000,40300000000,9.70%,14.37%,24.07%,"Toyota, Honda, Nissan"
75146159,OAK RIDGE INDUSTRIES INC,,,,,,0.00%,
689477750,SINJIN PLASTICS CO LTD,,,,,,0.00%,
898989728,TUPY S/A,10605000000,450000000,730000000,4.24%,6.88%,11.13%,"General Motors, Ford, Stellantis, Volkswagen"
51618056,CHARTER MANUFACTURING CO INC,,,,,,0.00%,
300243545,POLYTEC HOLDINGS AG,797000000,68000000,25000000,8.53%,3.14%,11.67%,"BMW, Volkswagen, Mercedes, Stellantis"
690599097,THK CO LTD,390505000000,65000000000,23400000000,16.65%,5.99%,22.64%,"Toyota, Honda, General Motors"
544771496,ZHEJIANG SANHUA INTELLIGENT CONTROL,26853000000,1900000000,3800000000,7.08%,14.15%,21.23%,"Toyota, Volkswagen, Tesla"
829948368,GLOBAL STEERING SYSTEMS LLC,,,,,,0.00%,
5346754,VICO PRODUCTS CO,,,,,,0.00%,
83430843,BLACK RIVER MANUFACTURING INC,,,,,,0.00%,
13797749,TURN KEY AUTOMOTIVE LLC,,,,,,0.00%,
650141922,HINDALCO INDUSTRIES LTD,2602270000000,255450000000,265930000000,9.82%,10.22%,20.04%,"Ford, General Motors, BMW"
460013923,ZANINI AUTO GRUP SA,,,,,,0.00%,
116588403,VELODYNE LIDAR INC,,,,,,0.00%,
480000538,SIKA AG,11201300000,3486200000,1523000000,31.12%,13.60%,44.72%,"Volkswagen, Stellantis, Toyota"
4535282,FLEX TECHNOLOGIES INC,,,,,,0.00%,
79730592,LUMEN NORTH AMERICA INC,,,,,,0.00%,
207705989,"BANK OF NOVA SCOTIA, THE",37097000000,,,,,0.00%,"Toyota, Ford"
80824067,IDEAL TRIDON HOLDINGS INC,,,,,,0.00%,
205593411,WIRCO PRODUCTS LTD,,,,,,0.00%,
784316531,DASHKING & COVERKING INC,,,,,,0.00%,
481811438,HANS OETIKER HOLDING AG,,,,,,0.00%,
188918163,TRACE DIE CAST INC,,,,,,0.00%,
56864259,UNITED CAPITAL CORP,,,,,,0.00%,
687735324,KUMHO INDUSTRIAL CO LTD,,,,,,0.00%,"Hyundai, Kia, Mercedes"
610835147,AMERICAN METAL TECHNOLOGIES LLC,,,,,,0.00%,
944953959,LIFELINE FIRST AID LLC,,,,,,0.00%,
461086563,BATZ S COOP,,,,,,0.00%,
5034780,METAL FORMING & COINING LLC,,,,,,0.00%,
21295514,SOLAR SPRING & WIRE FORMS,,,,,,0.00%,
315354878,SIGMUND SCHERDEL GMBH & CO KG,,,,,,0.00%,
78502043,FALCON LAKESIDE MANUFACTURING INC,,,,,,0.00%,
315012021,HUGO KERN UND LIEBERS GMBH & CO,,,,,,0.00%,
205316578,GROUPE TOUCHETTE INC,,,,,,0.00%,
171079481,WIRIC CORPORATION,,,,,,0.00%,
43492958,PUTCO INC,,,,,,0.00%,
825858470,MAT HOLDINGS INC,,,,,,0.00%,
421120888,FUXIN DARE AUTOMOTIVE PARTS CO LTD,,,,,,0.00%,
6133469,TRANSGLOBAL INC,,,,,,0.00%,
79472059,STEC USA INC,,,,,,0.00%,
22687246,MAYSER USA INC,,,,,,0.00%,
6553036,ALL STATE FASTENER CORP,,,,,,0.00%,
32313694,ERNIE GREEN INDUSTRIES INC,,,,,,0.00%,
690539689,THREE BOND CO LTD,,,,,,0.00%,
791307630,ASPEN TECHNOLOGIES INC,,,,,,0.00%,
803601454,SYNERGIES CASTINGS USA INC,,,,,,0.00%,
656063617,LIO HO MACHINE WORKS LTD,,,,,,0.00%,
791805633,NEW CENTER STAMPING INC,,,,,,0.00%,
518896162,KONGSBERG AUTOMOTIVE ASA,740500000,,800000,,0.11%,0.11%,"Ford, Nissan"
506707343,NORMA GROUP SE,8985500000,5215200000,54900000,58.04%,0.61%,58.65%,N/A
691680946,PRESSCO CO LTD,,,,,,0.00%,
439381112,INDUSTRIE SALERI ITALO SPA,,,,,,0.00%,
50686633,NFA CORP,,,,,,0.00%,
969557263,EQUISTAR CHEMICALS LP,,,,,,0.00%,
5364377,AUTO METAL CRAFT INC,,,,,,0.00%,
87709226,RAMCO SPECIALTIES INC,,,,,,0.00%,
64384746,"WALLBANK, PJ SPRINGS INC",,,,,,0.00%,
80275653,NEW DALTON FOUNDRY LLC,,,,,,0.00%,
391191053,COMPAGNIE INDUSTRIELLE DE DELLE,,,,,,0.00%,
5498423,PROGRESSIVE METAL FORMING INC,,,,,,0.00%,
117980058,FIREFISH TOPCO LLC,,,,,,0.00%,
372052093,PCS3 R-G SARL,,,,,,0.00%,
690559943,TAIHO KOGYO CO LTD,116650000000,7900000000,2243000000,6.77%,1.92%,8.70%,"Toyota, Honda, Nissan, Mitsubishi, General Motors, Ford"
25155824,RIDGE CORPORATION,,,,,,0.00%,
687953992,LS CORP,,,,,,0.00%,"Kia, Ford, Stellantis, Volkswagen, Hyundai, General Motors, Volvo"
72873664,ANGELL-DEMMELL NORTH AMERICA CORP,,,,,,0.00%,
933302499,GENSTAR CAPITAL LLC,,,,,,0.00%,
544957715,STATE-OWNED ASSETS SUPERVISION AND,,,,,,0.00%,
200427748,SAMUEL SON & CO LTD,,,,,,0.00%,
94982386,TRIMBLE INC,3600900000,1131900000,573800000,31.43%,15.93%,47.37%,N/A
78722817,BOOMERANG RUBBER INC,,,,,,0.00%,
690658596,MITSUBA CORP,345958000000,,20605000000,,5.96%,5.96%,"Honda, Nissan, Volkswagen, BMW"
662098148,JUENGPATTANA HOLDING COMPANY LTD,,,,,,0.00%,
6022289,AUTOMATIC SPRING PRODUCTS CORP,,,,,,0.00%,
5212246,LITTELFUSE INC,2386290000,381770000,357580000,16.00%,14.98%,30.98%,Tesla
951572785,SHANGHAI AUTOMOBILE AIR CONDITIONER,,,,,,0.00%,
687802777,INFAC CORPORATION,412004530,19992760,16970370,4.85%,4.12%,8.97%,"Hyundai, Kia, General Motors, Mazda"
5069901,NEW PRODUCTS CORP,,,,,,0.00%,
690558051,SANDEN CORPORATION,1231650330,191107200,23094050,15.52%,1.88%,17.39%,"Toyota, Hyundai, Audi, BMW, Mercedes, Ford, General Motors, Volkswagen, Nissan, Stellantis"
80506849,KRUGER BROWN HOLDINGS INC,,,,,,0.00%,
965507312,CORE MOLDING TECHNOLOGIES INC,261619000,34631000,12719000,13.24%,4.86%,18.10%,"Volvo, Ford, BMW, General Motors"
530750454,ZHEJIANG WANFENG AUTO WHEEL CO LTD,2360708970,45610550,197762580,1.93%,8.38%,10.31%,"Mercedes, BMW, Volkswagen, General Motors, Ford, Stellantis, Toyota, Hyundai, Nissan"
93715316,DORMAN PRODUCTS INC,2126159000,535304000,360702000,25.18%,16.96%,42.14%,"Ford, Stellantis, General Motors"
480658603,FINAPREST SA,,,,,,0.00%,
196527949,DC SAFETY SALES CO INC,,,,,,0.00%,
441787402,LIGHTHOUSE 11 SPA,,,,,,0.00%,
5323704,KELLOGG CRANKSHAFT CO,,,,,,0.00%,
4206397,"SHERWIN-WILLIAMS CO, THE",23574300000,7684800000,3803200000,32.60%,16.13%,48.73%,"Mercedes, General Motors, Ford, Toyota, Honda, BMW"
117230807,KIK CUSTOM PRODUCTS INC,,,,,,0.00%,
184861805,MOHR ENGINEERING INC,,,,,,0.00%,
117395095,AMERICAN LABELMARK CO,,,,,,0.00%,
98674047,NORTHERN INDUSTRIAL MFG CORP,,,,,,0.00%,
43280163,CARDONE INDUSTRIES INC,,,,,,0.00%,
690882766,PARKER CORP,449833870,82942410,37896440,18.44%,8.42%,26.86%,"General Motors, Ford, Stellantis"
915215511,VARROC ENGINEERING PRIVATE LTD,,,,,,0.00%,
615745168,LTI HOLDINGS INC,,,,,,0.00%,
5075122,CORLETT-TURNER CO,,,,,,0.00%,
218129829,ROKOKO AUTOMOTIVE HOLDINGS (JERSEY),,,,,,0.00%,
620697136,DURA OPERATING LLC,,,,,,0.00%,
831102736,EXTREME MACHINE INC,,,,,,0.00%,
9599671,COVERCRAFT INDUSTRIES LLC,,,,,,0.00%,
1165679,"EASTERN CO, THE",258120000,-43400000,11500000,-16.81%,4.46%,-12.36%,General Motors
91950469,ARGENT INTERNATIONAL INC,,,,,,0.00%,
4465100,"TIMKEN CO, THE",4581800000,-748300000,565900000,-16.33%,12.35%,-3.98%,General Motors
80877471,AUXO INVESTMENT PARTNERS LLC,,,,,,0.00%,
243330730,1147048 ONTARIO LIMITED,,,,,,0.00%,
85740343,AIR SQUARED MANUFACTURING INC,,,,,,0.00%,
6102438,TP REMAINCO LLC,,,,,,0.00%,
690579495,BANDO CHEMICAL INDUSTRIES LTD,752310000,164720000,22760000,21.90%,3.03%,24.92%,General Motors
176831766,LLINK TECHNOLOGIES INC,,,,,,0.00%,
690535695,KANEMATSU CORP,6748559810,757548030,287549620,11.23%,4.26%,15.49%,"Honda, General Motors"
527541895,SHANGHAI AEROSPACE AUTOMOBILE,,,,,,0.00%,
80386615,DUPONT DE NEMOURS INC,6849000000,-1019000000,860000000,-14.88%,12.56%,-2.32%,"General Motors, Mazda, Toyota, Honda, Nissan"
55823330,"NU-DI PRODUCTS CO, THE",,,,,,0.00%,
205510605,CCL INDUSTRIES INC,7600100000,-1130300000,1144800000,-14.87%,15.06%,0.19%,
529350186,AOTECAR NEW ENERGY TECH CO LTD,,,,,,0.00%,
690541545,NHK SPRING CO LTD,804398000000,,51023000000,,6.34%,6.34%,"Toyota, Honda, Nissan, Subaru, Mazda, General Motors, Ford, Stellantis, Volkswagen"
435891876,CONFEZIONI ANDREA ITALIA SRL,,,,,,0.00%,
5377056,"THORREZ, C INDUSTRIES INC",,,,,,0.00%,
690563036,UCHIYAMA MANUFACTURING CORP,29438620000,-412600000,532940000,-1.40%,1.81%,0.41%,"Toyota, Honda, Nissan, Mazda, Subaru, General Motors, Ford"
117124254,PISTON GROUP LLC,,,,,,0.00%,
65736522,BG PRODUCTS INCORPORATED,,,,,,0.00%,
7317399,TECHNICAL CHEMICAL CO,,,,,,0.00%,
788404598,EDS MANUFACTURING INC,,,,,,0.00%,
5100961,DRIV-LOK INC,,,,,,0.00%,
300209194,AMS AG,3323000000,-431000000,90000000,-12.97%,2.71%,-10.26%,Stellantis
812915907,MANUFACTURAS LA CRUZ SA DE CV,,,,,,0.00%,
5051081,SUPERIOR METAL PRODUCTS INC,,,,,,0.00%,
690549506,NIPPON PISTON RING CO LTD,,,,,,0.00%,"Toyota, Nissan, Honda, Subaru"
315781997,ADOLF WUERTH GMBH & CO KG,,,,,,0.00%,
492505068,HITCHED HOLDINGS COOPERATIEF UA,,,,,,0.00%,
6569172,DELTA CONTAINERS INC,,,,,,0.00%,
343175133,ICG GMBH & CO KG,,,,,,0.00%,
656137247,CHINA METAL PRODUCTS CO LTD,,,,,,0.00%,
433613812,FISPA SRL,,,,,,0.00%,
494451814,STICHTING ADMINISTRATIEKANTOOR AEGL,,,,,,0.00%,
353955008,ATLAS COPCO AB,168343000000,-30405000000,34114000000,-18.06%,20.26%,2.20%,"Toyota, Nissan, Honda, Subaru, Mazda, General Motors, Ford, Stellantis, Mercedes, BMW, Volkswagen, Audi, Renault"
60200342,CASCADE ENGINEERING INC,,,,,,0.00%,
966879215,SONUS ENGINEERED SOLUTIONS LLC,,,,,,0.00%,
480312516,RONAL AG,,,,,,0.00%,
8270621,WALKER PRODUCTS INC,,,,,,0.00%,
545284119,E-LAN CAR COMPONENT MANUFACTURE (PI,,,,,,0.00%,"Ford, General Motors, Toyota, Honda, Nissan, Mazda"
240585323,WOODBRIDGE FOAM CORP,,,,,,0.00%,
80405961,ADVANCED SEQUENCING & PRODUCTS LLC,,,,,,0.00%,
240006861,ARKAL PLASTIC NORTH AMERICA INC,,,,,,0.00%,
118862384,ANGSTROM FIBER AUBURN LLC,,,,,,0.00%,
961624249,ATERIAN INVESTMENT PARTNERS LP,,,,,,0.00%,
24597114,SPIROL INTERNATIONAL HOLDING CORP,,,,,,0.00%,
788386084,INSTRUMENT SALES AND SERVICE INC,,,,,,0.00%,
459386525,SPARCO SPA,,,,,,0.00%,
4913364,GOODWILL INDUSTRIES OF GRTR DETROIT,,,,,,0.00%,
690539358,HI-LEX CORP,304123000000,,3392000000,,1.12%,1.12%,"Ford, General Motors, Stellantis, Toyota, Honda, Mazda, Nissan, Audi"
483367074,SFS GROUP AG,3040100000,-1030800000,328700000,-33.91%,10.81%,-23.09%,Volkswagen
498150457,FRITZ DRAEXLMAIER HOLDING GMBH,,,,,,0.00%,
248276417,"ELGNER, ROGER HOLDINGS LTD",,,,,,0.00%,
232931605,EATON LP,,,,,,0.00%,
490215784,SYRINX COOPERATIE U.A.,,,,,,0.00%,
200145741,ULTRA CLEAR ENGINE FLUIDS INC,,,,,,0.00%,
114162782,CAMSHAFT MACHINE CO LLC,,,,,,0.00%,
5383922,EXOTIC RUBBER & PLASTICS CORP,,,,,,0.00%,
245601075,ALFA INTERNATIONAL ENTERPRISES LTD,,,,,,0.00%,
793115254,THREE DIMENSIONAL SERVICES INC,,,,,,0.00%,
626674332,INDUSTRIAL OPPORTUNITY PARNTERS LLC,,,,,,0.00%,
5126065,SMALLEY STEEL RING CO,,,,,,0.00%,
656275658,DEPO AUTO PARTS IND CO LTD,19676860000,-2036700000,3438560000,-10.35%,17.48%,7.12%,"Toyota, Honda, Nissan, Ford, General Motors, BMW, Volkswagen"
918617486,ANAND NVH PRODUCTS PVT LTD,,,,,,0.00%,
54585575,E&E MANUFACTURING CO INC,,,,,,0.00%,
5258959,MERCURY PRODUCTS CORP,,,,,,0.00%,
342955819,LENBACH EQUITY OPPORTUNITIES II GMB,,,,,,0.00%,
545261609,GSP AUTOMOTIVE GROUP WENZHOU CO LTD,,,,,,0.00%,
815557373,XIN POINT HOLDINGS LTD,399056894,63323650.68,69041665.68,15.87%,17.30%,33.17%,"General Motors, Mercedes, Volvo, BMW, Ford, Honda"
1162395,"LEE CO, THE",,,,,,0.00%,
52203171,P&R FASTENERS INC,,,,,,0.00%,
717684106,DIAMOND ELECTRIC HOLDINGS CO LTD,616073593.3,54957254.12,19848363.7,8.92%,3.22%,12.14%,"Ford, Subaru, Other, General Motors, Toyota, Honda, Stellantis, Hyundai, Mitsubishi"
50624055,ANDERSON COOK INC,,,,,,0.00%,
801446803,SA AUTOMOTIVE LTD LLC,,,,,,0.00%,
776631116,THULE GROUP AB,1152477503,345113361,184657197,29.95%,16.02%,45.97%,"Volvo, Audi, BMW"
691458483,MURO CORPORATION,148217462.4,20222617.64,7214067.17,13.64%,4.87%,18.51%,"Toyota, Honda, Nissan, Mazda, Other, Subaru"
687739466,HANWHA CORP,49591537102,3234053052,3375170302,6.52%,6.81%,13.33%,"Hyundai, BMW, Kia, Mercedes, Volkswagen, General Motors, Toyota, Ford"
37738192,UNIVERSAL TUBE INC,,,,,,0.00%,
64172927,WICO METAL PRODUCTS CO,,,,,,0.00%,
79823249,GISSING NORTH AMERICA LLC,,,,,,0.00%,
5509385,WHITLAM GROUP INC,,,,,,0.00%,
98814770,NORTH AMERICAN ASSEMBLY LLC,,,,,,0.00%,
958655482,CREATIVE LIQUID COATINGS INC,,,,,,0.00%,
809755726,DURAMARK TECHNOLOGIES INC,,,,,,0.00%,
87700621,NATL MINORITY SUPPLIER DEVELOPMENT,,,,,,0.00%,
20025944,OTIS INC LA,,,,,,0.00%,
556776941,TINICUM CAPITAL PARTNERS II LP,,,,,,0.00%,
5390778,OAKWOOD METAL FABRICATING CO,,,,,,0.00%,
554419626,JILIN DONGGONG HOLDINGS CO LTD,,,,,,0.00%,
690559257,DAIDO METAL CO LTD,905023439.4,144378133.3,54015166.63,15.95%,5.97%,21.92%,"Ford, General Motors, Other, Toyota, Honda, Nissan, Mazda, Subaru, Mitsubishi"
529710045,GUANGDONG SENSSUN WEIGHING APPARATU,,,,,,0.00%,
6570626,DELTA RESEARCH CORP,,,,,,0.00%,
106949627,INTERTECH HOLDINGS INC,,,,,,0.00%,
41810979,JABIL CIRCUIT CO,200761423.9,7478625.99,9872560.62,3.73%,4.92%,8.64%,"Ford, General Motors, Toyota, Honda, Hyundai"
845260798,TUBE WRIGHT INC,,,,,,0.00%,
47432877,PALOS VERDES BUILDING CORP,,,,,,0.00%,
12768192,TRANSCEDAR LTD,,,,,,0.00%,
833181279,VU ACQUISITIONS LLC,,,,,,0.00%,
603912895,WEST MICHIGAN MOLDING INC,,,,,,0.00%,
603198847,KATAYAMA AMERICAN CO INC,,,,,,0.00%,
79294494,VERITIV CORP,,,,,,0.00%,
656275401,MACAUTO INDUSTRIAL CO LTD,,,,,,0.00%,
102176260,HORIZON STEEL CO,,,,,,0.00%,
147632335,WISE INDUSTRIES INC,,,,,,0.00%,
5372040,ARMADA RUBBER MANUFACTURING CO,,,,,,0.00%,
848372038,COLONIAL PLASTICS INC,,,,,,0.00%,
690644448,UACJ CORP,7111237678,520709819.8,370221023.3,7.32%,5.21%,12.53%,"General Motors, Toyota, Tesla, Ford, Honda"
656382611,SUPERALLOY INDUSTRIAL CO LTD,,,,,,0.00%,
556385677,ADVANCED INTERIOR SOLUTIONS INC,,,,,,0.00%,
167226120,TESCA USA INC,,,,,,0.00%,
687995860,HANDS CORPORATION LTD,,,,,,0.00%,
687839399,DONG KWANG TECH CO LTD,,,,,,0.00%,
346387355,ESSENTRA PLC,,,,,,#VALUE!,
6003065,ACAL PRECISION PRODUCTS,,,,,,0.00%,
174475236,ES INVESTMENTS LLC,,,,,,0.00%,
650049299,BHARAT FORGE LTD,1778548901,227602412.3,211445122.6,12.80%,11.89%,24.69%,"Volkswagen, Mercedes, Volvo, General Motors, Stellantis"
690553649,SONY CORP,84983311544,14522607651,10605607925,17.09%,12.48%,29.57%,"Honda, Ford, Toyota, Volkswagen"
252892955,WESTPORT FUEL SYSTEMS INC,"290,323,000","43,520,000","-7,064,000",14.99%,-2.43%,12.56%,"General Motors, Ford, Volkswagen, Honda, Hyundai, Kia, Stellantis, Nissan, Mitsubishi, Other"
1210749,KASON INDUSTRIES INC,,,,,,0.00%,
655718732,BRUGOLA COMMERCIALE SPA,,,,,,0.00%,
19883003,JMA LOGISTICS LLC,,,,,,0.00%,
691239750,TOYOTA INDUSTRIES CORP,27289209401,4953154000,817725483.5,18.15%,3.00%,21.15%,"Toyota, Tesla, General Motors, Ford, Mercedes, Other"
790787295,AIRSEPT INC,,,,,,0.00%,
147930978,BRC RUBBER & PLASTICS INC,,,,,,0.00%,
243597635,1674571 ONTARIO INC,,,,,,0.00%,
317132652,FUCHS PETROLUB AG,,,,,,0.00%,0.00%
690911185,TOYOTA BOSHOKU CORP,12810197159,-249478740.2,295304141.1,-1.95%,2.31%,0.36%,"Toyota, Honda, Nissan, BMW, Subaru"
13274550,UNITED RADIO INC,,,,,,0.00%,
4223988,SEAWAY BOLT AND SPECIALS COMPANY,,,,,,0.00%,
243678062,WEGU MANUFACTURING INC,,,,,,0.00%,
117196496,TRIBAR TECHNOLOGIES INC,,,,,,0.00%,
65602807,MOLD MASTERS CO,,,,,,0.00%,
826193323,SUNNY AMERICA & GLOBAL AUTOTEC,,,,,,0.00%,
753451301,ARB CORP LTD,657516561,-158243756.7,92000704.25,-24.07%,13.99%,-10.07%,"Toyota, Ford, Other"
77496289,ADDEV MATERIALS CONVERTING INC,,,,,,0.00%,
21836754,PRODUCTION SPRING LLC,,,,,,0.00%,
240088963,PAPP PLASTICS & DISTRIBUTING LTD,,,,,,0.00%,
9807652,"TERNES, HOWARD PACKAGING CO",,,,,,0.00%,
91676379,POWERFLOW INC,,,,,,0.00%,
685742244,MECCA INTERNATIONAL HOLDING HK LTD,,,,,,0.00%,
690537287,MITSUBOSHI BELTING LTD,588933997.2,,58144011.05,,9.87%,9.87%,"Volkswagen, Stellantis, Toyota, Renault, Hyundai, Kia, Volvo, Other"
52412533,ENERSYS,3738280000,,474980000,,12.71%,12.71%,Other
154280655,J B POINDEXTER & CO INC,,,,,,0.00%,
26308515,BTD MANUFACTURING INC,,,,,,0.00%,
812918076,MODA PARA AUTOS S DE RL DE CV,,,,,,0.00%,
544791668,ZHUZHOU TIMES NEW MATERIAL TECHNOLO,"21,938,704,150","1,001,779,680","799,259,280",4.57%,3.64%,8.21%,Other
492504991,HITCHED HOLDINGS 1 BV,,,,,,0.00%,
153950139,RACEMARK INTERNATIONAL LLC,,,,,,0.00%,
690578364,AISAN INDUSTRY CO LTD,2163006436,,108709934.4,,5.03%,5.03%,"Toyota, Renault, Nissan, Volvo, Suzuki, Other"
65878019,WRIGHT PLASTIC PRODUCTS CO LLC,,,,,,0.00%,
690556345,SUMITOMO ELECTRIC INDUSTRIES LTD,31125032533,,4886046504,,15.70%,15.70%,"Toyota, Honda, Volkswagen, Other"
11004840,METALBUILT LLC,,,,,,0.00%,
690535638,ITOCHU CORP,95095841658,11219313442,4452029345,11.80%,4.68%,16.48%,"Mercedes, Suzuki, Other, Isuzu"
160931614,WEGMANN AUTOMOTIVE USA INC,,,,,,0.00%,
41669359,ACSCO PRODUCTS INC,,,,,,0.00%,
812535644,GIM GRUPO INDUSTRIAL MEXICANO,,,,,,0.00%,
609223474,COMPOSITE PRODUCTS INC,,,,,,0.00%,
690536685,MITSUI MINING & SMELTING CO LTD,,,,,,0.00%,
